group: XeBuyt

TRAMDUNG = {
MaTD:number, TenTram:string, Loai:string, DiaDiem:string
1,'Cong Truong Me Linh','Ben xe','Cong truong Me Linh Thi Sach, Quan 1'
2,'Ben Bach Dang','Tru dung','21 Ton Duc Thang, Quan 1'
3,'Cuc Hai Quan Thanh Pho','Nha cho','2-4 Ham Nghi, Quan 1'
4,'Cho Cu','Nha cho','84 Ham Nghi, Quan 1'
5,'Truong Cao Thang','Nha cho','122 Ham Nghi, Quan 1'
6,'Cong ty Duong sat','Nha cho','136 Ham Nghi, Quan 1'
7,'Ben Thanh B','Ben xe','Ben Thanh Pham Ngu Lao, Quan 1'
8,'Truong Ernst Thalmann','Nha cho','8 Tran Hung Dao, Quan 1'
9,'KTX Tran Hung Dao','Nha cho','10 Tran Hung Dao, Quan 1'
10,'Rap Hung Dao','Nha cho','112 Tran Hung Dao, Quan 1'
11,'Benh vien Rang Ham Mat','Nha cho','150 Tran Hung Dao, Quan 1'
12,'Tran Dinh Xu','Tru dung','210 - 212 Tran Hung Dao, Quan 1'
13,'Tong Cty Samco','Nha cho','262 Tran Hung Dao, Quan 1'
14,'Cho Nanci','Tru dung','290 Tran Hung Dao, Quan 1'
15,'Nguyen Bieu','Tru dung','454 Tran Hung Dao, Quan 5'
16,'Truong Cao dang Kinh te Doi ngoai','Nha cho','520 Tran Hung Dao, Quan 5'
17,'Tran Binh Trong','Tru dung','564 Tran Hung Dao, Quan 5'
18,'Benh vien Chan thuong Chinh hinh','Nha cho','696 Tran Hung Dao, Quan 5'
19,'Rap Dong Thap','Tru dung','780 Tran Hung Dao, Quan 5'
20,'Rap Dong Da','Tru dung','882 Tran Hung Dao, Quan 5'
21,'Dong Khanh','Tru dung','18 Tran Hung Dao, Quan 5'
22,'Nha Van hoa Quan 5','Tru dung','388 Tran Phu, Quan 5'
23,'Ngo Quyen','Bien treo','212 Tran Hung Dao, Quan 5'
24,'Tan Da','Tru dung','274 Tran Hung Dao, Quan 5'
25,'Trieu Quang Phuc','Tru dung','346 Tran Hung Dao, Quan 5'
26,'Buu dien Quan 5','Bien treo','13-15 Chau Van Liem, Quan 5'
27,'Hai Thuong Lan Ong','Tru dung','210-212 Hai Thuong Lan Ong, Quan 5'
28,'Cho Kim Bien','Tru dung','5 Trang Tu, Quan 5'
29,'Ben xe Cho Lon','Ben xe','GA HKXB CHO LON Le Quang Sung, Quan 5'
